datum,opis,znesek,oddelek,odobril
2023-01-15,Nakup pisarniške opreme,1250.00,finance,Jana Kovač
2023-02-03,Poslovno potovanje v Berlin,3400.00,prodaja,Marko Novak
2023-02-28,Račun za elektriko,890.00,administracija,Jana Kovač
2023-03-10,Licenca za programsko opremo,4200.00,razvoj,Luka Horvat
2023-03-22,Catering za sestanek z strankami,560.00,prodaja,Marko Novak
2023-04-05,Popravilo strežnika,1800.00,razvoj,Luka Horvat
2023-04-18,Tiskanje marketinških materialov,730.00,marketing,Ana Zupan
2023-05-09,Usposabljanje zaposlenih,2100.00,kadri,Jana Kovač
2023-05-30,Najem dvorane za konferenco,1500.00,administracija,Marko Novak
2023-06-14,Nakup prenosnih računalnikov,6800.00,razvoj,Luka Horvat
